Rank,Name,Date_of_birth,height,Role,Awards,Famous_for,Birth_place
1,Shelley Hennig,"January 2, 1987",5′ 8″ (1.73 m),['Actress'],1 win & 4 nominations,Unfriended (2014),"Destrehan, Louisiana, USA"
2,Ryan O'Neal,"April 20, 1941",5′ 11″ (1.80 m),"['Actor', 'Producer', 'Soundtrack']",5 wins & 14 nominations total,Love Story (1970),"Los Angeles, California, USA"
3,Anya Taylor-Joy,"April 16, 1996",5′ 8″ (1.73 m),"['Actress', 'Soundtrack']",19 wins & 45 nominations total,The Queen's Gambit (2020– ),"Miami, Florida, USA"
4,Emma Stone,"November 6, 1988",5′ 6″ (1.68 m),"['Actress', 'Producer', 'Soundtrack']",76 wins & 202 nominations total,La La Land (2016),"Scottsdale, Arizona, USA"
5,Vanessa Kirby,"April 18, 1988",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Soundtrack']",5 wins & 46 nominations total,The Crown (2016–2022),"London, England, UK"
6,Macaulay Culkin,"August 26, 1980",5′ 7″ (1.70 m),"['Actor', 'Producer', 'Director']",5 wins & 8 nominations,Home Alone (1990),"New York City, New York, USA"
7,Emma Myers,"April 2, 2002",5′ 3″ (1.60 m),['Actress'],1 nomination,Wednesday (2022–2024),United States
8,Alyson Gorske,"November 10, 1996",,['Actress'],1 win,Obliterated (2023– ),
9,Julia Roberts,"October 28, 1967",5′ 8″ (1.73 m),"['Actress', 'Producer', 'Soundtrack']",61 wins & 115 nominations total,Pretty Woman (1990),"Smyrna, Georgia, USA"
10,Brenda Song,"March 27, 1988",5′ 2″ (1.57 m),"['Actress', 'Producer', 'Music Department']",6 wins & 7 nominations,Dollface (2019–2022),"Carmichael, California, USA"
11,Juno Temple,"July 21, 1989",5′ 2″ (1.57 m),"['Actress', 'Soundtrack']",6 wins & 21 nominations total,Atonement (2007),"London, England, UK"
12,Ella Purnell,"September 17, 1996",5′ 5″ (1.65 m),"['Actress', 'Producer', 'Director']",9 wins & 7 nominations,Miss Peregrine's Home for Peculiar Children (2016),"London, England, UK"
13,Nick Zano,"March 8, 1978",6′ (1.83 m),"['Actor', 'Producer', 'Soundtrack']",,The Final Destination (2009),"Nutley, New Jersey, USA"
14,C. Thomas Howell,"December 7, 1966",5′ 10″ (1.78 m),"['Actor', 'Producer', 'Director']",3 wins,The Outsiders (1983),"Los Angeles, California, USA"
15,Florence Pugh,"January 3, 1996",5′ 3¾″ (1.62 m),"['Actress', 'Producer', 'Soundtrack']",39 wins & 96 nominations total,The Falling (2014),"Oxford, Oxfordshire, England, UK"
16,Taylor Momsen,"July 26, 1993",5′ 8″ (1.73 m),"['Actress', 'Director', 'Composer']",1 win & 9 nominations,How the Grinch Stole Christmas (2000),"St. Louis, Missouri, USA"
17,Timothée Chalamet,"December 27, 1995",5′ 10″ (1.78 m),"['Actor', 'Producer', 'Soundtrack']",41 wins & 99 nominations total,Call Me by Your Name (2017),"New York City, New York, USA"
18,Mary Elizabeth Winstead,"November 28, 1984",5′ 8″ (1.73 m),"['Actress', 'Producer', 'Soundtrack']",4 wins & 24 nominations,10 Cloverfield Lane (2016),"Rocky Mount, North Carolina, USA"
19,Emma Corrin,"December 13, 1995",5′ 8″ (1.73 m),"['Actress', 'Music Department', 'Soundtrack']",10 wins & 10 nominations total,Lady Chatterley's Lover (2022),"Royal Tunbridge Wells, Kent, England, UK"
20,Tom Blyth,"February 2, 1995",6′ (1.83 m),"['Actor', 'Producer']",,Billy the Kid (2022–2024),"Birmingham, England, UK"
21,Sarah Rafferty,"December 6, 1972",5′ 9″ (1.75 m),"['Actress', 'Producer', 'Soundtrack']",,Suits (2011–2019),"New Canaan, Connecticut, USA"
22,Maya Erskine,"May 7, 1987",5′ 3″ (1.60 m),"['Actress', 'Writer', 'Producer']",1 win & 16 nominations total,PEN15 (2019–2021),"Los Angeles, California, USA"
23,Natalie Portman,"June 9, 1981",5′ 3″ (1.60 m),"['Actress', 'Producer', 'Director']",94 wins & 166 nominations total,Black Swan (2010),"Jerusalem, Israel"
24,Phoebe Waller-Bridge,"July 14, 1985",5′ 9¾″ (1.77 m),"['Actress', 'Producer', 'Writer']",33 wins & 38 nominations total,Indiana Jones and the Dial of Destiny (2023),"London, England, UK"
25,Triptii Dimri,"February 23, 1994",5′ 5″ (1.65 m),['Actress'],2 wins & 12 nominations,Bulbbul (2020),"Delhi, India"
26,Sydney Sweeney,"September 12, 1997",5′ 3½″ (1.61 m),"['Actress', 'Producer']",4 wins & 16 nominations total,Euphoria (2019–2025),"Spokane, Washington, USA"
27,Julianne Moore,"December 3, 1960",5′ 3″ (1.60 m),"['Actress', 'Producer', 'Soundtrack']",115 wins & 173 nominations total,Far from Heaven (2002),"Fayetteville, North Carolina, USA"
28,Rachel Zegler,"May 3, 2001",5′ 2″ (1.57 m),"['Actress', 'Soundtrack']",4 wins & 19 nominations,West Side Story (2021),"Hackensack, New Jersey, USA"
29,Emily Browning,"December 7, 1988",5′ 2″ (1.57 m),"['Actress', 'Soundtrack']",5 wins & 9 nominations,A Series of Unfortunate Events (2004),"Melbourne, Victoria, Australia"
30,Charles Melton,"January 4, 1991",6′ 1″ (1.85 m),"['Actor', 'Soundtrack']",5 wins & 16 nominations,May December (2023),"Juneau, Alaska, USA"
31,Jennifer Lawrence,"August 15, 1990",5′ 9″ (1.75 m),"['Actress', 'Producer', 'Writer']",121 wins & 194 nominations total,The Hunger Games (2012),"Louisville, Kentucky, USA"
32,Margot Robbie,"July 2, 1990",5′ 6″ (1.68 m),"['Actress', 'Producer', 'Executive']",24 wins & 144 nominations total,Suicide Squad (2016),"Dalby, Queensland, Australia"
33,Marisa Tomei,"December 4, 1964",5′ 3½″ (1.61 m),"['Actress', 'Producer', 'Soundtrack']",27 wins & 60 nominations total,My Cousin Vinny (1992),"Brooklyn, New York City, New York, USA"
34,Lily Gladstone,"August 2, 1986",5′ 7″ (1.70 m),"['Actress', 'Casting Department', 'Writer']",18 wins & 33 nominations,Certain Women (2016),"Browning, Montana"
35,Joel Kinnaman,"November 25, 1979",6′ 2½″ (1.89 m),"['Actor', 'Producer']",1 win & 5 nominations,The Killing (2011–2014),"Stockholm, Sweden"
36,Alan Ritchson,"November 28, 1982",6′ 3″ (1.91 m),"['Actor', 'Producer', 'Director']",3 wins & 3 nominations,Teenage Mutant Ninja Turtles (2014),"Grand Forks, North Dakota, USA"
37,Thomas Brodie-Sangster,"May 16, 1990",5′ 10½″ (1.79 m),"['Actor', 'Producer', 'Soundtrack']",4 wins & 12 nominations total,Maze Runner: The Scorch Trials (2015),"London, England, UK"
38,Norman Lear,"July 27, 1922",5′ 9″ (1.75 m),"['Producer', 'Writer', 'Production Manager']",32 wins & 18 nominations total,All in the Family (1971–1979),"New Haven, Connecticut, USA"
39,Kimi Rutledge,,5′ 6¼″ (1.68 m),['Actress'],,Obliterated (2023– ),
40,Hannah Waddingham,"July 28, 1974",5′ 10¾″ (1.80 m),"['Actress', 'Producer', 'Soundtrack']",11 wins & 19 nominations total,Ted Lasso (2020–2023),"London, England, UK"
41,Paola Lázaro,"October 24, 1988",,"['Actress', 'Writer']",1 nomination,Obliterated (2023– ),"San Juan, Puerto Rico"
42,Yasmin Finney,"August 30, 2003",,['Actress'],1 win & 4 nominations,Heartstopper (2022–2023),"Manchester, England, UK"
43,Leonardo DiCaprio,"November 11, 1974",6′ (1.83 m),"['Producer', 'Actor', 'Writer']",103 wins & 269 nominations total,Inception (2010),"Hollywood, Los Angeles, California, USA"
44,Jennifer Garner,"April 17, 1972",5′ 9″ (1.75 m),"['Actress', 'Producer', 'Director']",12 wins & 62 nominations total,Alias (2001–2006),"Houston, Texas, USA"
45,Nicolas Cage,"January 7, 1964",6′ (1.83 m),"['Actor', 'Producer', 'Director']",63 wins & 110 nominations total,Face/Off (1997),"Long Beach, California, USA"
46,Rebecca Ferguson,"October 19, 1983",5′ 5″ (1.65 m),"['Actress', 'Producer', 'Soundtrack']",9 wins & 19 nominations,The Greatest Showman (2017),Sweden
47,Willa Fitzgerald,"January 17, 1991",5′ 5″ (1.65 m),"['Actress', 'Soundtrack']",4 nominations,Scream: The TV Series (2015–2016),"Nashville, Tennessee, USA"
48,Amy Acker,"December 5, 1976",5′ 8″ (1.73 m),"['Actress', 'Producer', 'Director']",4 wins & 8 nominations,Angel (2001–2004),"Dallas, Texas, USA"
49,Barry Keoghan,"October 18, 1992",5′ 8″ (1.73 m),['Actor'],11 wins & 72 nominations total,The Killing of a Sacred Deer (2017),"Dublin, Ireland"
50,Hunter Schafer,"December 31, 1998",5′ 10″ (1.78 m),"['Actress', 'Director', 'Writer']",4 nominations,The Hunger Games: The Ballad of Songbirds & Snakes (2023),"Trenton, New Jersey, USA"
51,Amanda Seyfried,"December 3, 1985",5′ 3″ (1.60 m),"['Actress', 'Producer', 'Soundtrack']",22 wins & 70 nominations total,Les Misérables (2012),"Allentown, Pennsylvania, USA"
52,Alexandra Daddario,"March 16, 1986",5′ 8″ (1.73 m),"['Actress', 'Producer', 'Soundtrack']",2 wins & 8 nominations total,Baywatch (2017),"New York City, New York, USA"
53,Elizabeth Debicki,"August 24, 1990",6′ 2¾″ (1.90 m),"['Actress', 'Producer']",6 wins & 41 nominations total,The Great Gatsby (2013),"Paris, France"
54,AnnaSophia Robb,"December 8, 1993",5′ (1.52 m),"['Actress', 'Soundtrack']",4 wins & 8 nominations,Bridge to Terabithia (2007),"Denver, Colorado, USA"
55,Ridley Scott,"November 30, 1937",5′ 8½″ (1.74 m),"['Producer', 'Director', 'Production Designer']",51 wins & 105 nominations total,The Martian (2015),"South Shields, County Durham, England, UK"
56,Brie Larson,"October 1, 1989",5′ 6¾″ (1.70 m),"['Actress', 'Producer', 'Director']",66 wins & 70 nominations total,Room (2015),"Sacramento, California, USA"
